E:\Workspaces\NormalUncertainty2026\.Revision\Data\fandisk.obj
bits;DAME;DAME -p;FMPD;MSDM;MSDM2;MSE;MaxErr;NUNC;Improvements;Time;
29449;0.00239795153240352;26.3706169128418;1;0.765878;0.702078;0.0006236821634243231;0.04284016042947769;0;0;5.6504344;
31705;0.00199870017763209;21.8933124542236;1;0.745493;0.68172;0.0005508714514818626;0.04284016042947769;0;3007;13.2874915;
33985;0.00166399006846319;18.2172183990479;1;0.726039;0.662002;0.00048311355495281923;0.04044342041015625;0;5843;20.5749013;
35713;0.00146344750480832;16.0109844207764;1;0.71429;0.650438;0.0004275673789069494;0.04044342041015625;0;8145;26.4186759;
37873;0.00126986398998306;13.9086961746216;1;0.692692;0.631285;0.0003728391858383011;0.04044342041015625;0;11035;33.7306893;
40337;0.00105648385214357;11.5328950881958;1;0.666805;0.605076;0.00032756256245342313;0.03661895915865898;0;14267;41.829832;
42401;0.000860295746245835;9.40574169158936;0.9479801295644665;0.640705;0.580779;0.00029094400853954923;0.03661895915865898;0;16967;48.878689;
44121;0.000752618457961193;8.22234058380127;0.8667118837416596;0.625648;0.569006;0.0002647179842925963;0.03496256098151207;0;19175;53.4825993;
46113;0.000645546797834794;7.03292465209961;0.7552901444772921;0.602297;0.548022;0.00024629437290029;0.03496256098151207;0;21574;58.4158347;
48345;0.00054643677535774;5.94332075119019;0.6633638772453065;0.576552;0.52284;0.00023115132941758603;0.03463290259242058;0;24191;63.715559;
50473;0.000466638228413304;5.0830454826355;0.5784091496354846;0.555778;0.503981;0.00021172191473693393;0.03463290259242058;0;26598;68.5739059;
52289;0.00041243147202533;4.49595260620117;0.5088224063516633;0.538542;0.488305;0.00019707440071705688;0.03463290259242058;0;28729;73.1240372;
54201;0.000367612291927281;3.99514889717102;0.4534545253924808;0.520881;0.473002;0.00018786611259223837;0.03463290259242058;0;30934;77.6441419;
56177;0.000315560934671398;3.41390752792358;0.40266701433869695;0.497727;0.453804;0.0001797024465054691;0.03457297757267952;0;33218;82.4952034;
58105;0.000279853510492009;3.03424429893494;0.3556877286929336;0.476849;0.435048;0.0001723006308467624;0.03457297757267952;0;35387;86.9915511;
60049;0.000251090194474031;2.72567892074585;0.3194835899639675;0.458506;0.419211;0.00016465986342063932;0.03457297757267952;0;37466;91.4204671;
